No,Number Per One Dimension,Gender,Size,Horizational Distance (CM),Vertical distance between shoulderes and table surface ,Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Width of shoulders ,Horizontal distance between eyes and head posture device ,Shoulder Posture ,Head Posture,Sensor 1,Sensor 2 ,Sensor 3,Sensor 4
1,1,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),651,463,641,521
2,2,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),664,461,633,529
3,3,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),662,472,631,527
4,4,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),657,468,626,527
5,5,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),646,476,643,528
6,6,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),648,461,633,525
7,7,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),664,466,635,536
8,8,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),664,466,627,527
9,9,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),652,465,637,532
10,10,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),649,467,638,531
11,11,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),658,468,638,521
12,12,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),652,470,641,528
13,13,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),663,478,640,530
14,14,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),656,469,639,524
15,15,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),654,459,640,521
16,16,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),663,454,633,530
17,17,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),656,469,634,517
18,18,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),656,469,639,521
19,19,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),668,484,632,530
20,20,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),649,474,637,529
21,21,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),688,470,633,533
22,22,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),666,472,633,533
23,23,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),659,462,634,534
24,24,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),663,466,631,524
25,25,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),657,479,638,529
26,26,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),662,480,634,530
27,27,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),654,479,643,535
28,28,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),661,472,629,528
29,29,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),659,479,639,526
30,30,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),667,468,639,531
31,31,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),665,479,646,532
32,32,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),660,478,641,526
33,33,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),669,476,632,533
34,34,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),666,473,643,530
35,35,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),660,491,639,530
36,36,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),676,483,637,532
37,37,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),668,478,645,527
38,38,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),674,488,636,531
39,39,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),663,473,641,534
40,40,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),667,487,649,523
41,41,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),672,498,635,528
42,42,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),679,479,642,532
43,43,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),662,486,641,539
44,44,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),675,481,635,544
45,45,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),683,495,644,529
46,46,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),668,477,630,534
47,47,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),682,484,653,533
48,48,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),670,479,641,536
49,49,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),676,486,639,536
50,50,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),677,482,636,535
51,51,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),673,484,646,536
52,52,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),683,482,638,529
53,53,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),680,492,637,536
54,54,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),661,485,636,535
55,55,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),668,490,640,536
56,56,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),666,487,638,531
57,57,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),681,483,651,530
58,58,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),667,484,639,526
59,59,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),667,479,644,533
60,60,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Extreme),671,478,641,535
61,1,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),642,467,613,525
62,2,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),637,482,614,521
63,3,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),640,471,612,526
64,4,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),652,468,609,523
65,5,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),647,470,613,521
66,6,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),645,486,613,525
67,7,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),647,487,614,526
68,8,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),652,477,616,527
69,9,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),648,487,616,526
70,10,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),650,469,612,524
71,11,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),658,475,615,529
72,12,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),660,475,622,522
73,13,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),655,483,610,519
74,14,Female,M,65,34,46,48,42,56,Round Shoulder,Poking Chin (Acceptable),669,464,617,527
